text,ids
"t. Home > Products > Polymers > Polycarbonate (PC)-Polybutylene Terephthalate (PBT) XENOY™ Resin - Long-term durability, high impact strength, chemical resistance, good surface appearance, low shrinkage, easy processing. Home > Products > Polymers > Polyethylene (PE) Complete range of HDPE, LDPE and LLDPE, including Metallocene LLDPE, plastomers and elastomers for flexible and rigid applications.English, Published10/1/2023English, Published 7/11/2023English, Published 5/24/2022English, Published 6/29/2018 Home > Products > Polymers > Polyethylene Terephthalate (PET) A transparent, lightweight material with excellent water and moisture barrier properties, used mostly for water, carbonated soft drinks, milk and juice packaging application. Home > Products > Polymers > Polymethyl Methacrylate (PMMA) Super transparent, amorphous PMMA offers high resistance to UV light and weathering, chemical and heat resistance, long service life, and unlimited coloring options for various applications.English, Published 10/1/2023English, Published 4/30/2021 Home > Products > Polymers > Polyoxymethylene (POM) A wide range of Polyoxymethylene (POM) including Glass-Filled grades (SABITAL). To be used in several applications replacing metals and moving parts for different market segment",chunk_10
"glish, Published 4/30/2021 Home > Products > Polymers > Polyoxymethylene (POM) A wide range of Polyoxymethylene (POM) including Glass-Filled grades (SABITAL). To be used in several applications replacing metals and moving parts for different market segments.English, Published 5/7/2019 Home > Products > Polymers >Polypropylene (PP) Complete range of Homo, Random & Impact Polypropylene and Polypropylene Compounds for Flexible and Rigid ApplicationsEnglish, Published 10/1/2023English, Published 5/24/2022English, Published 3/4/2022English, Published 10/15/2020Simplified Chinese, Published 10/14/2020 Home > Products > Polymers > Polystyrene (PS) A transparent polymer used in a variety of applications, such as food packaging and appliances. Polystyrene foams are used for thermal insulation and protective packaging. Home > Products > Polymers > Polyurethane (PU) Polyurethane PU is made by mixing a Polyol with a different diisocyanate, e.g Toluene diisocyanate (TDI) or Methylenediphenyl diisocyanate (MDI ) with other chemical and additives to produce materials that can be used in furniture/bedding, construction, insulation, automotive and CASE (coatings, adhesives, sealants and elastomers). Home > Products > Polymers > Polyvinyl Chloride (PVC) A durable and long-lasting m",chunk_11
"mical and additives to produce materials that can be used in furniture/bedding, construction, insulation, automotive and CASE (coatings, adhesives, sealants and elastomers). Home > Products > Polymers > Polyvinyl Chloride (PVC) A durable and long-lasting material that can be used in a variety of applications, either rigid or flexible: building and construction, medical devices and food packaging.English, Published 10/1/2023 Home > Products >Polymers > Synthetic Rubbers A wide range of BR and EPDM rubber, which finds application in tire and non-tire industries. Home > Products > Specialties > ULTEM™ RESIN FAMILY OF HIGH HEAT SOLUTIONS ULTEM™ resin is a Polyetherimide (PEI), which offers a unique combination of thermal performance, high modulus, dimensional stability, near-infrared transparency, and non-halogenated FR for a wide range of demanding applications. EXTEM™ resin is well-suited for applications that require a higher thermal performance, such as co-packaged optical components. SILTEM™ resin is an easy extrudable amorphous copolymer with no intentionally added PFAS for potential use in applications such as high-performance wires and cables. High temperature resistant resins and compounds are also available under LNP™ Compounds and PC Copolymer Resins and NO",chunk_12
"rudable amorphous copolymer with no intentionally added PFAS for potential use in applications such as high-performance wires and cables. High temperature resistant resins and compounds are also available under LNP™ Compounds and PC Copolymer Resins and NORYL™ Resins families. High temperature resistant resins and compounds are also available under LNP™ Compounds and PC Copolymer Resins and NORYL™ Resins families.English, Published 1/25/2024English, Published 1/25/2024English, Published 1/25/2024English, Published 1/25/2024English, Published 1/23/2024 Home > Products > Polymers > XYLEX™ RESINS Strong chemical resistance plus clarityEnglish, Published 1/11/2024English, Published 1/19/2017 Home > Products > Agri-Nutrients> Agri-Nutrients > 11-29-19_6S NPK Speak to one of our representatives to find out how SABIC can help you. Home > Products > Agri-Nutrients > Agri-Nutrients > 18-18-5_9S NPK Speak to one of our representatives to find out how SABIC can help you. Home > Products > Agri-Nutrients > Agri-Nutrients > Anhydrous Ammonia Speak to one of our representatives to find out how SABIC can help you. Home > Products > Chemicals > Aromatics > Carbon Black Oil The most common use (70%) of carbon black is as a pigment and reinforcing phase in automobile tires. About 2",chunk_13
"nhydrous Ammonia Speak to one of our representatives to find out how SABIC can help you. Home > Products > Chemicals > Aromatics > Carbon Black Oil The most common use (70%) of carbon black is as a pigment and reinforcing phase in automobile tires. About 20% of world production goes into belts, hoses, and other non-tire rubber goods. The remainder is mainly used as a pigment in inks, coatings and plastics.Speak to one of our representatives to find out how SABIC can help you. Home >Products > Chemicals > Ethoxylates > Castor Oil Ethoxylates SABICOL EL Series products are Ethylene oxide condensate of naturally derived triglyceride. SABICOL EL Series products are yellow colored liquid/paste, completely miscible in water and many organic solvents. They are nontoxic, nonirritant and they are used as emulsifier in many applications.Crop Protection, Textiles, Paper, Leather, PaintsEnglish, Published 4/19/2018Speak to one of our representatives to find out how SABIC can help you. Home > Products > Polymers > Polyethylene (PE) > COHERE™ Plastomer The SABIC® COHERE™ Metallocene Polyolefin Plastomer (POP) is an ethylene-octene copolymers produced via solution polymerization using metallocene catalyst.SABIC® COHERE™ is a high quality POP that enables superior sealing perform",chunk_14
"e (PE) > COHERE™ Plastomer The SABIC® COHERE™ Metallocene Polyolefin Plastomer (POP) is an ethylene-octene copolymers produced via solution polymerization using metallocene catalyst.SABIC® COHERE™ is a high quality POP that enables superior sealing performance to reduce contamination and increase shelf-life of products, improved productivity in form-fill-seal packaging machine, and more balanced mechanical properties that reduce damage during handling and transportatioFlexible packaging and industrial films.Outstanding sealing properties, toughness, optical properties and processability.Speak to one of our representatives to find out how SABIC can help you. Home > Products > Metals > Flat Product > CRC Speak to one of our representatives to find out how SABIC can help you. Home> Products > Metals > Flat Product > CRCG Speak to one of our representatives to find out how SABIC can help you. Home > Products > Metals > Flat Product > CRS Speak to one of our representatives to find out how SABIC can help you. Home > Products > Metals > Flat Product > CRSG Speak to one of our representatives to find out how SABIC can help you. Home > Products > Polymers > Acrylonitrile Butadiene Styrene (ABS) > CYCOLAC™ Resin CYCOLAC™ ABS resins are terpolymers which are formed by blend",chunk_15
"roducts > Metals > Flat Product > CRSG Speak to one of our representatives to find out how SABIC can help you. Home > Products > Polymers > Acrylonitrile Butadiene Styrene (ABS) > CYCOLAC™ Resin CYCOLAC™ ABS resins are terpolymers which are formed by blending an amorphous thermoplastic copolymer of acrylonitrile (A) and Styrene (S) and an elastomeric component which is usually polybutadiene or a butadiene copolymer (B). The flexibility offered by the use of the three monomer systems allows the propery profile to be tailored to meet abroad range of end-use requirements.The Regulatory Data Sheet (RDS) contains information about product compliance with respect to specific regulations, laws, and directives such as RoHS, REACH-SVHC, POPs and other restricted substances.A Safety Data Sheet (SDS) contains relevant information that enables safe handling, storage, transportation and use of a grade.SDS'es are available for download from the ""SABIC SDS Portal"". User guidance to support your search efforts can be downloaded here.If an SDS is not available for your particular region and/or language, please follow the directions in the portal or user manual to request a specific SDS.English, Published 1/11/2024English, Published 1/30/2023English, Published 3/20/2020English, Pub",chunk_16
"here.If an SDS is not available for your particular region and/or language, please follow the directions in the portal or user manual to request a specific SDS.English, Published 1/11/2024English, Published 1/30/2023English, Published 3/20/2020English, Published 1/19/2017Speak to one of our representatives to find out how SABIC can help you. Home > Products > Specialties > LNP™ COMPOUNDS AND PC COPOLYMER RESINS > CYCOLOY™ FR Resin FOR STRENGTH AND PROCESSABILITYCYCOLOY resin is a Polycarbonate/Acrylonitrile Butadiene Styrene (PC/ABS) blend, high impact amorphous thermoplastic blends combine ease of processing with low-temperature ductility. With excellent impact resistance, heat resistance, and outstanding aesthetics, CYCOLOY resin blends can be tailored to meet specific property requirements, to help balance performance, cost and processability.CYCOLOY resin blends provide an excellent design solution when both appearance and durability are important.Biocompatible HC The CYCOLOY Biocompatible resins portfolio is an amorphous family of PC/ABS resins that are excellent candidates for the Healthcare market. Core Products CYCOLOY polycarbonate / acrylonitrile butadiene styrene resins offer the best of both worlds with excellent property balance that appeal to molders",chunk_17
" an amorphous family of PC/ABS resins that are excellent candidates for the Healthcare market. Core Products CYCOLOY polycarbonate / acrylonitrile butadiene styrene resins offer the best of both worlds with excellent property balance that appeal to molders and OEMs alike. Dimensional Stability This portfolio of high modulus resins is a family of amorphous, filled, PC/ABS blends which offer outstanding dimensional stability in both FR and non-FR products. Flame Retardant The flame resistant resins portfolio is a series of amorphous PC/ABS blends suitable for injection molding, extrusion and thermoforming applications. Improved Toughness Building on the tremendous strength of standard LEXAN resin, this family of high impact resin has even greater impact performance and low temperature ductility. Special Effects The Visualfx portfolio is a series of resins that can enhance your product both aesthetically and functionally through the use of advanced pigment and polymer technology. Effects such as flow line reduction, porcelain, light shielding and laser welding can provide the aesthetic and functional differentiation required by today's high technology parts. Speak to one of our representatives to find out how SABIC can help you.Home > Products > Polymers > Polycarbo",chunk_18
", porcelain, light shielding and laser welding can provide the aesthetic and functional differentiation required by today's high technology parts. Speak to one of our representatives to find out how SABIC can help you.Home > Products > Polymers > Polycarbonate (PC)-Acrylonitrile Butadiene Styrene (ABS) > CYCOLOY™ FR Resins FOR STRENGTH AND PROCESSABILITYCYCOLOY polycarbonate/acrylonitrile-butadiene-styrene (PC/ABS) high impact amorphous thermoplastic blends combine ease of processing with low-temperature ductility. With excellent impact resistance, heat resistance, and outstanding aesthetics, CYCOLOY resin blends can be tailored to meet specific property requirements, to help balance performance, cost and processability.CYCOLOY resin blends provide an excellent design solution when both appearance and durability are important.The CYCOLOY Biocompatible resins portfolio is an amorphous family of PC/ABS resins that are excellent candidates for the Healthcare market.CYCOLOY polycarbonate / acrylonitrile butadiene styrene resins offer the best of both worlds with excellent property balance that appeal to molders and OEMs alike.This portfolio of high modulus resins is a family of amorphous, filled, PC/ABS blends which offer outstanding dimensional stability in both FR a",chunk_19
"rene resins offer the best of both worlds with excellent property balance that appeal to molders and OEMs alike.This portfolio of high modulus resins is a family of amorphous, filled, PC/ABS blends which offer outstanding dimensional stability in both FR and non-FR products.The flame resistant resins portfolio is a series of amorphous PC/ABS blends suitable for injection molding, extrusion and thermoforming applications.Building on the tremendous strength of standard LEXAN™ resin, this family of high impact resin has even greater impact performance and low temperature ductility.The Visualfx portfolio is a series of resins that can enhance your product both aesthetically and functionally through the use of advanced pigment and polymer technology. Effects such as flow line reduction, porcelain, light shielding and laser welding can provide the aesthetic and functional differentiation required by today's high technology parts.The Regulatory Data Sheet (RDS) contains information about product compliance with respect to specific regulations, laws, and directives such as RoHS, REACH-SVHC, POPs and other restricted substances.A Safety Data Sheet (SDS) contains relevant information that enables safe handling, storage, transportation and use of a grade.SDS'es are available",chunk_20
"to specific regulations, laws, and directives such as RoHS, REACH-SVHC, POPs and other restricted substances.A Safety Data Sheet (SDS) contains relevant information that enables safe handling, storage, transportation and use of a grade.SDS'es are available for download from the ""SABIC SDS Portal"". User guidance to support your search efforts can be downloaded here.If an SDS is not available for your particular region and/or language, please follow the directions in the portal or user manual to request a specific SDS.English, Published 1/11/2024English, Published 3/20/2020English, Published 10/15/2019Speak to one of our representatives to find out how SABIC can help you. Home > Products > Specialties > LNP™ COMPOUNDS AND PC COPOLYMER RESINS> CYCOLOY™ non-FR Resin FOR STRENGTH AND PROCESSABILITYCYCOLOY resin is a Polycarbonate/Acrylonitrile Butadiene Styrene (PC/ABS) blend, high impact amorphous thermoplastic blends combine ease of processing with low-temperature ductility. With excellent impact resistance, heat resistance, and outstanding aesthetics, CYCOLOY resin blends can be tailored to meet specific property requirements, to help balance performance, cost and processability. CYCOLOY resin blends provide an excellent design solution when both appearance and dura",chunk_21
"sistance, and outstanding aesthetics, CYCOLOY resin blends can be tailored to meet specific property requirements, to help balance performance, cost and processability. CYCOLOY resin blends provide an excellent design solution when both appearance and durability are important.Speak to one of our representatives to find out how SABIC can help you. Home > Products > Polymers > Polycarbonate (PC)-Acrylonitrile Butadiene Styrene (ABS) > CYCOLOY™ Resin The Regulatory Data Sheet (RDS) contains information about product compliance with respect to specific regulations, laws, and directives such as RoHS, REACH-SVHC, POPs and other restricted substances.A Safety Data Sheet (SDS) contains relevant information that enables safe handling, storage, transportation and use of a grade.SDS'es are available for download from the ""SABIC SDS Portal"". User guidance to support your search efforts can be downloaded here.If an SDS is not available for your particular region and/or language, please follow the directions in the portal or user manual to request a specific SDS.English, Published 1/11/2024English, Published 1/30/2023English, Published 3/20/2020Speak to one of our representatives to find out how SABIC can help you. Home > Products > Agri-Nutrients > Agri-Nutrients > DAP Speak t",chunk_22
"ser manual to request a specific SDS.English, Published 1/11/2024English, Published 1/30/2023English, Published 3/20/2020Speak to one of our representatives to find out how SABIC can help you. Home > Products > Agri-Nutrients > Agri-Nutrients > DAP Speak to one of our representatives to find out how SABIC can help you. Home > Products> Agri-Nutrients > Agri-Nutrients > Date Palm NPK Speak to one of our representatives to find out how SABIC can help you. Home > Products > Specialties > ADDITIVES > Dianhydrides & Imides Specialty dianhydrides can be used as an epoxy curing agent or as building blocks for polyimides. When used as an epoxy curing agent these dianhydrides can provided enhanced thermal performance greater than mono-anhydrides and aromatic amine alternatives. When utilized in polyimides, enhancements in flexibility, processing, chemical resistance, and moisture absorption can be attained. SABIC BISDA (BPA base dianhydride) has excellent thermal properties that may be used as a co-monomer in polyimide synthesis or as a curing agent in epoxy thermoset systems. BISDA is provided as a flake and is soluble in the typical organic solvents used in polyimide varnishes, coatings, adhesives, films and wire enamels. Incorporating BISDA into polyimide formulations m",chunk_23
"nthesis or as a curing agent in epoxy thermoset systems. BISDA is provided as a flake and is soluble in the typical organic solvents used in polyimide varnishes, coatings, adhesives, films and wire enamels. Incorporating BISDA into polyimide formulations may provide enhanced performance in heat resistance, flexibility/softness, dimensional stability and metal adhesion properties. In epoxy systems, BISDA as a curing agent may offer improved thermal performance, increased pot life, easier handling, improved chemical resistance, better toughness, lower dielectric properties, lower shrinkage and lower moisture absorption. English, Published 3/19/2021English, Published 3/19/2021English, Published 2/26/2019English, Published 4/3/2018English, Published 3/30/2018Speak to one of our representatives to find out how SABIC can help you. Home > Products > Specialties > CAPACITOR FILMS >ELCRES™ HTV150A DIELECTRIC FILM for DC link power capacitors English, Published 1/30/2024English, Published 4/23/2021Speak to one of our representatives to find out how SABIC can help you. Home > Products > Agri-Nutrients > Agri-Nutrients > Enriched Urea Speak to one of our representatives to find out how SABIC can help you. Home > Products > Specialties > ULTEM™ RESIN FAMILY OF HIGH HEAT SOLUTI",chunk_24
"sentatives to find out how SABIC can help you. Home > Products > Agri-Nutrients > Agri-Nutrients > Enriched Urea Speak to one of our representatives to find out how SABIC can help you. Home > Products > Specialties > ULTEM™ RESIN FAMILY OF HIGH HEAT SOLUTIONS > EXTEM™ Resin The new EXTEM™ Resin portfolio of amorphous thermoplastic polyimide (TPI) and polyetherimide (PEI) resins offers a powerful combination of outstanding elevated thermal resistance up to 280 °C Tg; high strength, stiffness, and creep performance up to 230 °C, broad chemical resistance including chlorinated solvents; and eliminates the draw-backs of semi-crystalline materials, imidized thermosets, and competitive amorphous thermoplastics which can require post-molding curing or crystallization. In addition, EXTEM resin is inherently flame-retardant without the use of halogenated additives that can pose an environmental risk.EXTEM is available in transparent and opaque custom colors, as well as glass filled grades. In the near future, EXTEM with additional fillers will be available through SABIC LNP™ Compounds to provide wear resistance performance, electrostatic dissipative properties, enhanced dimensional stability, and more. Plus, EXTEM resin portfolio is extremely versatile allowing SABIC to de",chunk_25
"dditional fillers will be available through SABIC LNP™ Compounds to provide wear resistance performance, electrostatic dissipative properties, enhanced dimensional stability, and more. Plus, EXTEM resin portfolio is extremely versatile allowing SABIC to design products that can offer design engineers exceptional flexibility and freedom.LONG-TERM HEAT RESISTANCE Excellent stability of physical and mechanical properties at elevated temperatures thanks to high glass transition temperature of up to 280 °C. Available with relative thermal indices (RTI) higher than 200 °C (preliminary). STRENGTH AND STIFFNESS Outstanding strength, stiffness and creep resistance with predictable performance up to 230 °C (preliminary). EXTEM XH resin is approximately 50% stronger at 170 °C than ULTEM resin. Unfilled, transparent grades are equal in strength to other thermoplastics with opacifying fillers. DIMENSIONAL STABILITYAmong the most dimensionally stable thermoplastics available, offering predictability over a broader temperature range exceeding 200°C. Filled grades offer exceptionally high-tolerance dimensional capabilities. ENVIRONMENTAL STRESS & CRACKING RESISTANCE Unlike most other amorphous thermoplastics, EXTEM resins retain strength and resist stress cracking when exposed to",chunk_26
"range exceeding 200°C. Filled grades offer exceptionally high-tolerance dimensional capabilities. ENVIRONMENTAL STRESS & CRACKING RESISTANCE Unlike most other amorphous thermoplastics, EXTEM resins retain strength and resist stress cracking when exposed to automotive and aircraft fluids, aliphatic hydrocarbons, alcohols, acids as well as chlorinated solvents such as methylene chloride. FLAMMABILITY, SMOKE GENERATION AND TOXICITY Inherently flame-retardant without the use of halogenated additives, which can pose an environmental risk. EXTEM resin is exceptionally difficult to ignite, with a limiting oxygen index (LOI) of 45% (preliminary). EXTEM resin is expected to retain the UL performance and flame, smoke and toxicity strengths of ULTEM resin. PROCESSABILITY EXTEM resin can be processed in conventional drying and injection molding or extrusion equipment capable of running ULTEM resin and other high heat thermoplastics. EXTEM resin can be film and profile extruded, thermoformed, extrusion blow molded, extruded into stock shapes, and injection molded. Flowability can be tailored to meet customer applications through product and processing design and flows similar to ULTEM resins. English, Published 11/20/2023English, Published 6/21/2023English, Published 6/12/202",chunk_27
"into stock shapes, and injection molded. Flowability can be tailored to meet customer applications through product and processing design and flows similar to ULTEM resins. English, Published 11/20/2023English, Published 6/21/2023English, Published 6/12/2023English, Published 1/19/2023English, Published 12/5/2022Speak to one of our representatives to find out how SABIC can help you. Home > Products > Specialties > NORYL™ RESINS > FLEX NORYL™ Resin SABIC's Flexible NORYL™ resin products are recyclable thermoplastic blends comprised of PPE resin (polyphenylene ether) and TPEs (thermoplastic elastomers). Developed for use as insulation and jacketing for the wire and cable industries, it offers a smaller carbon footprint while retaining the flexibility and processing performance of PVC. Exceeding the demands of the industry, Flexible NORYL resin offers low specific gravity, faster processing and improved abrasion resistance.English, Published 5/12/2021English, Published 2/21/2019English, Published 1/19/2017English, Published 1/19/2017Speak to one of our representatives to find out how SABIC can help you. Home > Products > Polymers> Polyethylene (PE) > FORTIFY™ Elastomer The new SABIC FORTIFY™ Poly Olefin Elastomer (POE) products are produced using Nexlene™ technology –",chunk_28
